Date,USDCHF,EURUSD,GBPUSD,USDJPY
2021-06-07,0.8991000056266785,1.2168411016464231,1.4164307117462158,109.61699676513672
2021-06-08,0.8974999785423279,1.2193634510040283,1.41765558719635,109.27400207519533
2021-06-09,0.8967999815940857,1.217285394668579,1.414987564086914,109.46900177001952
2021-06-10,0.8956000208854675,1.218200445175171,1.4112334251403809,109.61000061035156
2021-06-11,0.8946499824523926,1.2172558307647705,1.4170126914978027,109.40899658203124
2021-06-14,0.897711992263794,1.2110203504562378,1.411930799484253,109.70899963378906
2021-06-15,0.8991000056266785,1.212224006652832,1.4109944105148315,110.04100036621094
2021-06-16,0.8985000252723694,1.2127091884613037,1.4081531763076782,110.08399963378906
2021-06-17,0.9085299968719482,1.1995586156845093,1.3990709781646729,110.7699966430664
2021-06-18,0.9176499843597412,1.1913414001464844,1.3938642740249634,110.3249969482422
2021-06-21,0.9224900007247924,1.1873664855957031,1.381711721420288,110.20099639892578
2021-06-22,0.918649971485138,1.1912561655044556,1.392540454864502,110.3740005493164
2021-06-23,0.918590009212494,1.1936734914779663,1.3949919939041138,110.65399932861328
2021-06-24,0.9181100130081176,1.193317413330078,1.3967455625534058,111.01200103759766
2021-06-25,0.9181299805641174,1.1930327415466309,1.3916915655136108,110.9209976196289
2021-06-28,0.9166899919509888,1.1942152976989746,1.389506459236145,110.8219985961914
2021-06-29,0.9196100234985352,1.1928904056549072,1.387905836105347,110.60299682617188
2021-06-30,0.9208999872207642,1.1901928186416626,1.3842746019363403,110.53500366210938
2021-07-01,0.9249500036239624,1.1856770515441897,1.3829153776168823,111.1240005493164
2021-07-02,0.9258999824523926,1.1846235990524292,1.3759511709213257,111.5719985961914
2021-07-05,0.9215999841690063,1.1856207847595217,1.383125901222229,111.13500213623048
2021-07-06,0.9221000075340272,1.186380386352539,1.3856172561645508,110.91600036621094
2021-07-07,0.9246699810028076,1.1824523210525513,1.3805670738220217,110.60199737548828
2021-07-08,0.9254000186920166,1.17933988571167,1.3801099061965942,110.63500213623048
2021-07-09,0.914740025997162,1.184800386428833,1.3790820837020874,109.8010025024414
2021-07-12,0.9140400290489196,1.187295913696289,1.3899506330490112,110.21499633789062
2021-07-13,0.915019989013672,1.186521053314209,1.3886960744857788,110.3249969482422
2021-07-14,0.9187999963760376,1.1775373220443726,1.3806052207946775,110.59500122070312
2021-07-15,0.9146900177001952,1.1833338737487793,1.385809302330017,109.98400115966795
2021-07-16,0.9178000092506408,1.1811814308166504,1.3829728364944458,109.77799987792967
2021-07-19,0.9185299873352052,1.1814005374908447,1.376386642456055,109.8740005493164
2021-07-20,0.9185000061988832,1.1793843507766724,1.3669979572296145,109.53399658203124
2021-07-21,0.9212300181388856,1.1784114837646484,1.3633265495300293,109.91999816894533
2021-07-22,0.9175699949264526,1.179273009300232,1.3714035749435425,110.25499725341795
2021-07-23,0.9191200137138368,1.177273869514465,1.377389669418335,110.13999938964844
2021-07-26,0.9195299744606018,1.177343249320984,1.3757808208465576,110.54399871826172
2021-07-27,0.9154599905014038,1.1807769536972046,1.3829153776168823,110.302001953125
2021-07-28,0.9143999814987184,1.1823126077651978,1.3882719278335571,109.80599975585938
2021-07-29,0.909500002861023,1.1845955848693848,1.3906852006912231,109.89099884033205
2021-07-30,0.9057199954986572,1.189299702644348,1.3964334726333618,109.40899658203124
2021-08-02,0.9059100151062012,1.186704158782959,1.3896223306655884,109.70600128173828
2021-08-03,0.905269980430603,1.1874650716781616,1.389274835586548,109.2689971923828
2021-08-04,0.903819978237152,1.1869436502456665,1.391788363456726,108.99099731445312
2021-08-05,0.9064000248908995,1.1837401390075684,1.389043211936951,109.52899932861328
2021-08-06,0.906499981880188,1.1835720539093018,1.3927576541900637,109.7519989013672
2021-08-09,0.9156000018119812,1.1749500036239624,1.3868471384048462,110.25900268554688
2021-08-10,0.9205999970436096,1.17384672164917,1.384907364845276,110.30599975585938
2021-08-11,0.9229599833488464,1.172333002090454,1.3836042881011963,110.5979995727539
2021-08-12,0.921459972858429,1.1741899251937866,1.386693239212036,110.3740005493164
2021-08-13,0.9230599999427797,1.173626184463501,1.3811582326889038,110.40299987792967
2021-08-16,0.9154000282287598,1.179467797279358,1.3863856792449951,109.6240005493164
2021-08-17,0.912500023841858,1.177994966506958,1.3842746019363403,109.2969970703125
2021-08-18,0.9147499799728394,1.1709738969802856,1.3740416765213013,109.53700256347656
2021-08-19,0.9175599813461304,1.1703298091888428,1.3743815422058103,109.84200286865234
2021-08-20,0.9189199805259703,1.1676595211029053,1.36308491230011,109.76799774169922
2021-08-23,0.9171199798583984,1.1697548627853394,1.3625277280807495,109.83999633789062
2021-08-24,0.9122999906539916,1.1744533777236938,1.37247633934021,109.6780014038086
